submission,_elapsed,ip_address,user_agent,orig,userid,lastupdated,mygroup,status,om1,om2,sl1,sl2,sl3,sl4,topic,numcompleted,teacher,typedelib,uniqueid,pips1,pips2,pips3,pips4,similar,pips5
1,167107,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574063,1574063,1535647330,,,70,24,70,68,100,76,8,1,2,3,l05172005,100,3,70,70,24,50
1,299288,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574045,1574045,1535647354,,,75,58,74,80,78,73,8,1,2,3,r11082004,49,6,81,93,24,11
1,268792,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574052,1574052,1535647357,,,75,64,88,66,69,64,8,1,2,3,n10192004,67,25,73,79,82,62
1,294169,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574051,1574051,1535647364,,,88,77,23,83,78,89,8,1,2,3,k10242004,89,5,94,92,29,22
1,350019,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574041,1574041,1535647371,,,60,69,100,66,73,88,8,1,2,3,d03212005,84,19,65,88,50,50
1,318634,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",1574048,1574048,1535647381,,,93,79,100,85,81,100,8,1,2,3,c02192005,100,17,100,20,20,68
1,291680,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574054,1574054,1535647386,,,63,72,55,72,37,57,8,1,2,3,z07182005,66,51,50,60,100,57
1,274292,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574058,1574058,1535647392,,,76,76,72,71,63,84,8,1,2,3,a07152004,68,16,51,60,18,18
1,264424,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574060,1574060,1535647409,,,32,39,62,59,26,3,8,1,2,3,V07292004,59,89,91,17,50,100
1,374091,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574043,1574043,1535647410,,,81,68,68,100,50,100,8,1,2,3,K09272005,100,23,48,100,22,50
1,239464,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574064,1574064,1535647411,,,68,65,69,79,81,43,8,1,2,3,W10262004,60,0,0,66,100,100
1,337194,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574055,1574055,1535647435,,,76,39,82,86,100,68,8,1,2,NULL,a0602004,65,26,86,82,39,50
1,380324,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574056,1574056,1535647484,,,57,76,50,50,36,43,8,1,2,3,M  November 21 2004,50,5,50,62,32,17
1,337403,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574062,1574062,1535647487,,,53,50,59,100,67,87,8,1,2,NULL,a06252005,75,30,68,58,50,39
1,408558,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574057,1574057,1535647512,,,61,87,94,92,81,100,8,1,2,3,R21042005,77,23,81,76,31,50
1,374325,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574061,1574061,1535647522,,,98,93,74,71,21,80,8,1,2,3,g05232005,73,51,100,100,66,7
1,195563,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574115,1574115,1535651220,,,43,42,100,75,60,100,8,1,2,3,a03202005,67,50,50,98,24,21
1,150677,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574124,1574124,1535651221,,,67,100,69,91,75,89,8,1,2,3,L04052005,88,18,53,100,33,0
1,261597,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574108,1574108,1535651233,,,27,77,92,74,80,90,8,1,2,3,a11012004,97,10,25,88,74,20
1,234209,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574112,1574112,1535651251,,,70,74,86,28,50,79,8,1,2,3,S07042005,88,0,14,95,79,50
1,237498,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574116,1574116,1535651266,,,72,35,96,70,98,71,5,1,2,2,c061204,100,52,42,72,11,90
1,195792,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574125,1574125,1535651287,,,50,16,68,50,50,66,8,1,2,3,t06112004,50,5,79,90,10,17
1,275472,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574117,1574117,1535651310,,,79,77,75,70,21,83,8,1,2,3,g05222005,83,67,26,68,88,83
1,310126,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574111,1574111,1535651311,,,69,100,85,85,61,100,8,1,2,3,A5-18-05,35,10,72,87,41,42
1,313800,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574110,1574110,1535651312,,,49,100,86,87,89,91,8,1,2,3,r09172005,92,0,94,82,51,50
1,126805,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574130,1574130,1535651312,,,100,64,90,76,100,67,8,1,2,3,h03172005,100,0,63,65,63,55
1,219870,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",1574127,1574127,1535651330,,,100,100,100,100,100,100,8,1,2,3,K04102005,88,0,65,100,50,29
1,321128,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574113,1574113,1535651339,,,57,58,58,42,58,56,8,1,2,3,d05152005,52,29,81,49,58,58
1,197017,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574118,1574118,1535651342,,,41,85,100,88,72,100,8,1,2,3,e05052005,78,0,100,96,49,50
1,298341,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574120,1574120,1535651344,,,100,100,100,100,100,65,8,1,2,3,z10142004,100,0,100,100,100,61
1,208614,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574131,1574131,1535651397,,,100,37,100,69,89,79,8,1,2,3,b03122005,88,13,100,72,50,72
1,335606,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574123,1574123,1535651400,,,83,85,5,82,81,100,8,1,2,3,i08052005,11,0,77,83,100,0
1,342426,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574122,1574122,1535651409,,,74,65,85,83,62,50,8,1,2,3,,32,20,82,73,59,81
1,371206,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574119,1574119,1535651413,,,40,83,88,42,54,55,8,1,NULL,3,l03072005,77,13,53,77,12,50
1,333339,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574126,1574126,1535651442,,,50,50,50,50,50,50,8,1,2,3,y05102005,50,69,33,78,54,50
1,360613,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574128,1574128,1535651492,,,77,84,50,60,70,80,8,1,2,3,a11082004,50,15,39,70,41,58
1,502159,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574114,1574114,1535651525,,,95,92,75,96,18,83,8,1,2,3,jaya,4,54,100,100,1,22
1,530772,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574121,1574121,1535651585,,,50,11,79,50,8,86,8,1,2,3,A02212005,28,5,88,100,14,93
1,388531,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574132,1574132,1535651674,,,100,100,76,52,0,67,8,1,2,3,s03022005,100,2,49,71,0,0
1,232795,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574134,1574134,1535651775,,,21,69,69,69,64,14,8,1,2,3,j08252005,80,100,78,83,92,38
1,201981,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574135,1574135,1535651800,,,87,85,100,78,79,82,8,1,2,1,g05022005,100,0,93,88,61,50
1,20209,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574226,1574226,1535658451,,,37,82,100,56,37,43,8,1,2,3,o05172005,75,47,100,79,100,74
1,166100,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574237,1574237,1535658449,,,100,0,50,100,100,100,8,1,2,3,j071705,100,0,58,100,0,50
1,205736,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574223,1574223,1535658453,,,36,75,60,94,61,69,8,1,2,3,s09242005,50,14,57,46,5,0
1,248567,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574224,1574224,1535658465,,,31,0,72,81,25,70,8,1,2,3,g07062005,100,29,100,69,69,0
1,229700,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574234,1574234,1535658482,,,66,51,56,68,77,60,8,1,2,3,i07112005,81,3,50,54,44,36
1,185187,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574241,1574241,1535658493,,,63,65,72,76,50,61,8,1,2,3,s03172005,90,26,83,84,49,50
1,271886,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574227,1574227,1535658494,,,96,0,55,69,100,56,8,1,2,3,e12122005,25,60,100,35,71,36
1,202985,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574239,1574239,1535658495,,,41,85,86,66,46,59,8,1,2,3,g11232004,93,26,82,65,70,36
1,218061,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574238,1574238,1535658505,,,100,85,100,92,100,100,8,1,2,3,y09052005,100,0,97,100,32,50
1,258297,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574232,1574232,1535658506,,,74,74,50,83,74,100,8,1,2,3,d11082004,77,68,100,72,23,10
1,274291,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574229,1574229,1535658512,,,30,27,23,55,33,65,5,2,2,3,c02042005,87,14,67,34,60,100
1,300456,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574225,1574225,1535658518,,,100,100,66,40,66,100,8,1,2,3,k0892005,0,0,65,100,27,56
1,262829,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574235,1574235,1535658520,,,73,100,100,100,100,100,8,1,2,3,a09152004,75,6,100,100,100,50
1,203349,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",1574244,1574244,1535658529,,,69,61,100,64,100,73,8,1,2,3,o12172004,30,44,95,50,2,60
1,297374,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574230,1574230,1535658535,,,54,51,49,54,51,58,8,1,2,3,N06062005,44,22,51,51,48,51
1,234392,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574242,1574242,1535658545,,,66,100,81,81,100,80,8,1,2,3,j01252005,93,61,0,94,44,100
1,245446,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10718.88.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.118 Safari/537.36",1574240,1574240,1535658552,,,77,90,71,82,74,82,8,1,2,3,n08022005,11,0,56,96,35,38
1,194959,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574248,1574248,1535658558,,,80,61,70,71,84,65,8,1,2,3,n03282005,88,10,100,98,82,78
1,329214,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574231,1574231,1535658570,,,36,63,70,44,16,72,8,1,2,3,L06012005,40,57,81,63,64,18
1,242105,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574245,1574245,1535658574,,,100,100,100,85,47,98,8,1,2,3,p07072005,100,0,51,100,37,67
1,192443,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574249,1574249,1535658579,,,100,83,100,80,87,77,8,1,2,3,j08252005,85,8,100,100,100,40
1,262186,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574243,1574243,1535658585,,,100,53,100,77,74,100,8,1,2,3,A07/30/2005,50,0,100,100,50,25
1,249525,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574247,1574247,1535658606,,,50,75,75,50,39,50,8,1,2,3,march 12 jh,50,0,96,100,50,50
1,270508,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574246,1574246,1535658607,,,50,50,87,100,56,90,8,1,2,3,b11262004,100,0,100,99,12,0
1,140520,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574252,1574252,1535658845,,,54,45,53,47,54,47,8,1,2,3,R05262005,63,95,71,58,45,54
1,171726,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574236,1574236,1535658917,,,88,100,70,79,79,80,8,1,2,3,g02192005,75,24,74,73,36,27
1,151384,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574273,1574273,1535662468,,,74,24,100,100,27,100,8,1,2,3,r08192004,87,0,82,100,21,50
1,189487,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574282,1574282,1535662565,,,51,50,65,69,75,81,8,1,2,3,S01222005,75,34,100,82,50,83
1,305826,166.113.128.70,"Mozilla/5.0 (X11; CrOS x86_64 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",1574270,1574270,1535662567,,,100,100,78,67,68,70,8,1,2,3,y06252005,73,8,42,91,48,51
1,193233,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574281,1574281,1535662571,,,49,67,100,100,98,82,8,1,2,3,J05262005,100,24,100,87,50,82
1,211988,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574280,1574280,1535662591,,,52,80,97,100,100,99,8,1,2,3,m08232005,93,14,60,94,34,92
1,235202,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574278,1574278,1535662591,,,67,100,81,71,38,83,8,1,2,3,c06162005,91,7,100,48,64,56
1,309363,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",1574272,1574272,1535662609,,,100,100,20,51,100,46,8,1,2,3,e03102005,100,50,50,100,0,50
1,221816,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574285,1574285,1535662614,,,39,0,38,100,100,100,8,1,2,3,c05052005,100,0,100,100,0,0
1,262125,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574277,1574277,1535662615,,,85,90,74,85,89,85,8,1,2,3,R03082005,100,0,72,100,0,24
1,80553,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574286,1574286,1535662615,,,50,50,50,50,61,60,8,1,2,3,a08292005,50,50,50,50,50,50
1,454430,166.113.128.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",1574269,1574269,1535662630,,,57,57,81,65,81,68,8,1,2,3,l01012005,80,9,76,80,59,50
1,263922,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574283,1574283,1535662650,,,65,1,87,93,14,60,8,1,2,3,r07242004,100,13,20,100,48,78
1,148124,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574275,1574275,1535662652,,,66,52,74,62,56,50,8,1,2,3,c02182005,84,80,86,87,91,27
1,263927,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574288,1574288,1535662669,,,71,75,43,55,72,50,8,1,2,3,B10302004,50,0,100,49,28,19
1,289496,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574284,1574284,1535662677,,,68,70,63,66,53,60,8,1,2,3,"K Decmber 1, 2004",100,0,0,58,55,53
1,368942,166.113.128.70,"Mozilla/5.0 (X11; CrOS armv7l 10176.76.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.190 Safari/537.36",1574274,1574274,1535662683,,,86,100,86,61,44,56,8,1,2,3,a08232005,65,30,6,100,35,50
